icao24,callsign,origin_country,latitude,longitude,altitude,velocity,heading,on_ground,timestamp
4b1819,SWR115Y,Switzerland,51.3332,-0.0272,2827.02,138.29,265.52,False,2026-03-03 19:38:16
39de4c,TVF10BA,France,48.1897,2.3785,7901.94,213.53,202.67,False,2026-03-03 19:38:16
4952cd,TAP93ZS,Portugal,42.1175,-0.7951,11277.6,217.25,201.1,False,2026-03-03 19:38:16
4b181b,SWR849W,Switzerland,47.4515,8.5588,,0.0,185.62,True,2026-03-03 19:38:16
440daf,EJU92FC,Austria,43.3449,0.7894,10355.58,227.45,59.26,False,2026-03-03 19:38:16
4952c3,TAP67U,Portugal,43.7613,-4.9818,11894.82,229.12,210.94,False,2026-03-03 19:38:16
4b180c,SWR388G,Switzerland,50.1483,9.0279,10668.0,223.37,188.88,False,2026-03-03 19:38:16
488252,SAH48P,Poland,48.5116,9.2876,3421.38,173.94,280.91,False,2026-03-03 19:38:16
39de40,TVF48ZX,France,48.3787,1.71,2720.34,141.41,34.33,False,2026-03-03 19:38:16
40814a,AUR9LG,United Kingdom,51.1793,-0.4848,2720.34,108.08,257.35,False,2026-03-03 19:38:16
3d7f74,JMP901,Germany,49.5664,6.1445,2895.6,96.83,272.74,False,2026-03-03 19:38:16
511170,MBU8DT,Estonia,49.1753,4.4994,11582.4,228.33,67.48,False,2026-03-03 19:38:16
44029f,AUA217N,Austria,50.0404,8.5592,,7.46,70.31,True,2026-03-03 19:38:16
408134,BAW315,United Kingdom,51.4775,-0.4911,-53.34,58.65,90.0,False,2026-03-03 19:38:16
511194,MBU4WX,Estonia,46.5316,-2.9949,11582.4,222.7,46.5,False,2026-03-03 19:38:16
39470b,TJT88XP,France,45.2497,3.6264,1706.88,102.48,150.86,False,2026-03-03 19:38:16
3455d7,VOE7349,Spain,45.5399,4.179,11887.2,209.21,235.22,False,2026-03-03 19:38:16
3c65c3,DLH8H,Germany,50.1172,8.8339,1242.06,98.51,249.2,False,2026-03-03 19:38:16
3c5ee8,EWG7FB,Germany,50.1366,2.8539,10972.8,214.55,40.53,False,2026-03-03 19:38:16
3c65cd,DLH66U,Germany,50.0463,8.5627,,5.14,70.31,True,2026-03-03 19:38:16
3c5eeb,EWG7YR,Germany,48.6918,9.2298,,21.61,50.62,True,2026-03-03 19:38:16
