icao24,callsign,origin_country,latitude,longitude,altitude,velocity,heading,on_ground,timestamp
4952cd,TAP1558,Portugal,31.2478,-15.2848,11590.02,233.87,33.06,False,2026-03-11 17:44:25
4952c9,TAP1542,Portugal,30.1122,-14.789,11590.02,246.19,22.22,False,2026-03-11 17:44:25
4952aa,TAP282,Portugal,34.2625,0.409,12192.0,235.73,314.47,False,2026-03-11 17:44:25
471efb,WZZ44ZL,Hungary,35.5068,31.3012,10363.2,225.01,287.57,False,2026-03-11 17:44:25
40812d,EZY78RH,United Kingdom,29.8232,-16.1921,10675.62,228.75,207.89,False,2026-03-11 17:44:25
440219,EJU17KD,Austria,36.1236,26.8414,10972.8,223.67,332.32,False,2026-03-11 17:44:25
4aca8b,NSZ8PV,Sweden,35.7891,-13.481,10972.8,231.45,26.39,False,2026-03-11 17:44:25
343141,IBS15YQ,Spain,31.2278,-14.1506,10668.0,235.76,214.87,False,2026-03-11 17:44:25
471f41,WZZ81BS,Hungary,36.9243,-4.6377,2286.0,129.85,280.73,False,2026-03-11 17:44:25
4400dc,EJU47ML,Austria,30.3433,-15.6432,10469.88,224.89,17.03,False,2026-03-11 17:44:25
a5d1c9,CADDY01,United States,28.5657,33.6225,11582.4,195.32,309.01,False,2026-03-11 17:44:25
471f31,WZZ3179,Hungary,28.622,-14.5265,10668.0,199.72,225.52,False,2026-03-11 17:44:25
7c4920,QFA64,Australia,-26.4982,28.966,5501.64,209.72,129.63,False,2026-03-11 17:44:25
39d310,TVF9823,France,35.8618,-6.2205,12192.0,218.61,27.77,False,2026-03-11 17:44:25
3c6551,LHX1151,Germany,36.6601,-4.3116,2506.98,138.17,41.23,False,2026-03-11 17:44:25
40823f,EXS1664,United Kingdom,36.9999,-15.3504,10972.8,227.55,2.2,False,2026-03-11 17:44:25
0a0053,DTH1979,Algeria,35.5662,1.6316,6088.38,192.59,203.62,False,2026-03-11 17:44:25
0a0044,DAH469,Algeria,35.5568,16.5793,12192.0,221.39,278.15,False,2026-03-11 17:44:25
