timestamp,total_aircraft,in_flight,on_ground,unique_countries,altitude_mean,velocity_mean,ground_ratio,delta_total,delta_inflight,pct_change,z_score
2026-03-03 19:38:16,663,583,80,45,7014.932923076923,156.36232277526395,0.12066365007541478,,,,-1.069958817742581
2026-03-03 19:45:20,638,556,82,43,7171.94128342246,156.27173981191223,0.12852664576802508,-25.0,-27.0,-3.7707390648567096,-1.1991808971800908
2026-03-03 20:03:01,610,531,79,40,7359.039925233645,158.44959016393443,0.12950819672131147,-28.0,-25.0,-4.3887147335423204,-1.3439096261501018
2026-03-04 16:13:51,1009,913,96,45,6073.877152173913,140.09693452380952,0.09514370664023786,399.0,382.0,65.40983606557378,0.7184747616725544
2026-03-04 16:14:42,1008,916,92,46,6083.112260869566,140.89035749751739,0.09126984126984126,-1.0,3.0,-0.09910802775024985,0.713305878495054
2026-03-04 16:14:50,1010,917,93,46,6064.768732394366,140.63985133795836,0.09207920792079208,2.0,1.0,0.1984126984126977,0.7236436448500547
2026-03-04 16:15:36,1010,922,88,47,6046.063106796117,141.17163528245788,0.08712871287128712,0.0,5.0,0.0,0.7236436448500547
2026-03-04 16:16:03,1012,922,90,45,6037.008568353068,141.03177052423342,0.08893280632411067,2.0,0.0,0.1980198019801982,0.7339814112050556
