icao24,callsign,origin_country,latitude,longitude,altitude,velocity,heading,on_ground,timestamp
4b1815,SWR27M,Switzerland,50.6461,3.0972,11277.6,238.64,117.89,False,2026-03-10 20:21:36
4b1817,SWR42V,Switzerland,49.0029,2.8141,4610.1,206.63,111.77,False,2026-03-10 20:21:36
407a38,NPT903,United Kingdom,49.4348,-2.6089,182.88,60.27,267.06,False,2026-03-10 20:21:36
39de54,TVF10BA,France,46.4492,0.8497,11887.2,241.09,208.97,False,2026-03-10 20:21:36
4b1807,SWR3ME,Switzerland,47.4541,8.5595,365.76,0.0,185.62,True,2026-03-10 20:21:36
4b1809,SWR316T,Switzerland,49.7502,2.3185,11582.4,202.8,325.02,False,2026-03-10 20:21:36
4952cd,TAP755,Portugal,47.8501,0.1413,11879.58,235.73,224.47,False,2026-03-10 20:21:36
4952c4,TAP67NP,Portugal,42.5761,-5.0579,11574.78,194.88,29.41,False,2026-03-10 20:21:36
488252,SAH48P,Poland,51.3793,-2.7098,,0.0,289.69,True,2026-03-10 20:21:36
39de45,TVF7040,France,45.204,3.0069,10675.62,221.22,179.47,False,2026-03-10 20:21:36
80166c,AIC2029,India,50.0466,8.5725,,0.0,292.5,True,2026-03-10 20:21:36
3d7f74,JMP901,Germany,49.0466,3.0942,2133.6,79.15,242.94,False,2026-03-10 20:21:36
511170,MBU4WX,Estonia,50.6059,3.1709,11582.4,222.77,42.94,False,2026-03-10 20:21:36
402aee,GBOJW,United Kingdom,51.4631,-1.1797,944.88,42.29,143.41,False,2026-03-10 20:21:36
471eff,WMT6KR,Hungary,49.5839,9.8875,11117.58,226.05,137.12,False,2026-03-10 20:21:36
3455cb,GES321S,Spain,41.946,3.2875,12496.8,222.41,234.51,False,2026-03-10 20:21:36
3b7b21,GALION1,France,47.8055,-5.0834,1501.14,87.99,299.41,False,2026-03-10 20:21:36
3455d7,VOE7349,Spain,43.6289,1.3749,,0.9,33.75,True,2026-03-10 20:21:36
3c65c3,,Germany,50.0442,8.5393,,11.83,84.38,True,2026-03-10 20:21:36
3c5ee5,EWG72E,Germany,47.4631,8.562,,31.38,317.81,True,2026-03-10 20:21:36
a915da,N685AR,United States,44.4361,4.9424,13708.38,226.45,358.31,False,2026-03-10 20:21:36
380d1a,,France,43.6227,1.349,,0.0,177.19,True,2026-03-10 20:21:36
3c5ef6,EWG29N,Germany,48.7738,9.6556,1699.26,125.16,243.12,False,2026-03-10 20:21:36
3c65cd,DLH920,Germany,50.0465,8.5694,,1.03,202.5,True,2026-03-10 20:21:36
3b7b3c,DRAGO64,France,42.9783,-0.7245,2080.26,25.54,18.8,False,2026-03-10 20:21:36
3c5eeb,EWG4TW,Germany,50.0161,5.5395,10073.64,214.89,116.14,False,2026-03-10 20:21:36
44b2ad,BAF76,Belgium,50.9115,4.4861,,1.8,323.44,True,2026-03-10 20:21:36
3c5ef5,EWG9F,Germany,47.4535,8.5586,,0.64,5.62,True,2026-03-10 20:21:36
440237,EJU86DW,Austria,49.0063,2.8205,922.02,83.61,265.41,False,2026-03-10 20:21:36
44022b,AUA16A,Austria,50.0626,9.2342,10668.0,232.34,114.18,False,2026-03-10 20:21:36
4aca94,NSZ5423,Sweden,49.848,3.6227,11277.6,242.2,216.8,False,2026-03-10 20:21:36
344481,IBE06VA,Spain,48.3415,2.3229,11170.92,254.53,199.97,False,2026-03-10 20:21:36
49530a,TAP1243,Portugal,47.5621,7.8682,10058.4,224.19,237.37,False,2026-03-10 20:21:36
3b7b96,DRAG76,France,49.5351,0.0966,60.96,2.57,216.87,False,2026-03-10 20:21:36
471f78,WMT991,Hungary,45.3669,9.0779,5532.12,185.98,107.38,False,2026-03-10 20:21:36
3c674d,DLH981,Germany,50.0457,8.5813,,4.12,70.31,True,2026-03-10 20:21:36
4400e9,TJS1,Austria,51.2858,-0.7461,182.88,56.17,241.56,False,2026-03-10 20:21:36
471f35,WMT1SR,Hungary,44.911,7.8137,1493.52,135.52,297.34,False,2026-03-10 20:21:36
4008b5,BAW5GU,United Kingdom,51.3885,-0.0362,1965.96,118.48,67.0,False,2026-03-10 20:21:36
40808c,VIR300,United Kingdom,51.1473,1.7262,7749.54,252.71,99.85,False,2026-03-10 20:21:36
4951cb,TAP38KJ,Portugal,41.252,1.9692,937.26,114.82,242.52,False,2026-03-10 20:21:36
3c6588,DLH3MA,Germany,51.3368,9.6605,7665.72,183.02,195.99,False,2026-03-10 20:21:36
3c658d,DLH237,Germany,50.1327,8.919,1485.9,91.09,268.38,False,2026-03-10 20:21:36
348085,AEA1518,Spain,44.7807,2.8258,11277.6,238.25,230.43,False,2026-03-10 20:21:36
3c658c,DLH55M,Germany,50.0343,9.1385,1965.96,141.73,321.63,False,2026-03-10 20:21:36
3c658e,DLH7C,Germany,48.5594,8.9686,6705.6,215.21,10.75,False,2026-03-10 20:21:36
3c6595,DLH4XV,Germany,50.3096,9.4868,3429.0,137.28,222.42,False,2026-03-10 20:21:36
39d311,TVF79CR,France,48.2945,3.1404,3307.08,166.11,336.45,False,2026-03-10 20:21:36
3c7878,CFG7KE,Germany,43.8164,7.6709,10988.04,229.55,44.36,False,2026-03-10 20:21:36
3c7879,CFG5TW,Germany,50.0437,8.5604,,1.8,165.94,True,2026-03-10 20:21:36
4b5da8,ATL778,Switzerland,47.4536,8.5567,,5.92,345.94,True,2026-03-10 20:21:36
4b5da1,ATL780,Switzerland,47.4539,8.56,,0.64,323.44,True,2026-03-10 20:21:36
