icao24,callsign,origin_country,latitude,longitude,altitude,velocity,heading,on_ground,timestamp
86d5b6,ANA106,Japan,34.502,144.1284,11879.58,312.43,95.01,False,2026-03-11 17:39:45
86ced2,ANA814,Japan,21.737,116.4851,11071.86,285.01,90.52,False,2026-03-11 17:39:45
78203b,CDG2168,China,25.2663,118.5549,5745.48,202.68,215.18,False,2026-03-11 17:39:45
758302,PAL423,Philippines,35.5482,139.7736,,9.26,149.06,True,2026-03-11 17:39:45
3c6704,DLH797,Germany,23.1376,113.7583,7795.26,210.38,299.76,False,2026-03-11 17:39:45
7809fd,,China,22.807,114.9745,5082.54,190.18,278.09,False,2026-03-11 17:39:45
c02eb9,ACA19,Canada,34.2248,130.9078,11574.78,219.45,236.57,False,2026-03-11 17:39:45
86d8cc,SJO410,Japan,40.2819,141.3299,10980.42,225.93,192.36,False,2026-03-11 17:39:45
a97639,CKS931,United States,37.0739,126.7437,2750.82,136.67,328.7,False,2026-03-11 17:39:45
758584,APG128,Philippines,24.9606,121.0732,998.22,93.31,48.58,False,2026-03-11 17:39:45
781b8b,,China,23.3285,113.4434,10393.68,198.03,220.89,False,2026-03-11 17:39:45
7584be,RYL287,Philippines,21.4525,115.0762,10043.16,249.39,128.38,False,2026-03-11 17:39:45
682231,MGL308,Mongolia,41.4804,116.3351,11003.28,182.98,329.04,False,2026-03-11 17:39:45
151d88,AFL856,Russian Federation,22.0428,113.8464,11003.28,213.34,183.32,False,2026-03-11 17:39:45
782367,CSN6492,China,41.5106,115.1098,10690.86,213.66,72.92,False,2026-03-11 17:39:45
a95ca4,GTI8609,United States,36.0702,134.5349,9448.8,273.93,61.51,False,2026-03-11 17:39:45
abda7d,FDX5090,United States,34.1147,132.8647,9144.0,224.18,251.4,False,2026-03-11 17:39:45
a51e24,GTI8364,United States,33.4852,126.2623,11582.4,228.3,213.05,False,2026-03-11 17:39:45
780a5c,CPA255,China,22.3233,114.0729,1729.74,111.71,136.31,False,2026-03-11 17:39:45
7c1469,QFA7526,Australia,21.246,115.1418,8138.16,248.4,163.52,False,2026-03-11 17:39:45
780a9c,CPA883,China,34.4128,134.0532,10363.2,205.0,253.98,False,2026-03-11 17:39:45
84bbdf,APJ808,Japan,35.5426,139.772,,0.26,239.06,True,2026-03-11 17:39:45
780a28,CPA3290,China,22.4799,118.3548,9448.8,308.18,58.72,False,2026-03-11 17:39:45
780a3c,CPA880,China,22.3062,113.9232,,4.12,241.88,True,2026-03-11 17:39:45
84ceef,JJP11,Japan,25.6401,122.1093,6103.62,173.19,239.47,False,2026-03-11 17:39:45
4bb141,THY199,Turkey,41.6562,115.6408,9174.48,232.66,280.96,False,2026-03-11 17:39:45
a80a8f,UPS72,United States,24.9574,122.052,12192.0,232.67,182.03,False,2026-03-11 17:39:45
7810af,CSS325,China,22.3174,113.5714,3665.22,180.07,225.58,False,2026-03-11 17:39:45
896455,UAE313,United Arab Emirates,33.9534,131.7729,9144.0,229.75,248.32,False,2026-03-11 17:39:45
780b20,CSZ305,China,21.9003,112.4275,8420.1,201.34,276.31,False,2026-03-11 17:39:45
781e5b,CTJ3867,China,33.8869,133.0721,5951.22,220.55,74.44,False,2026-03-11 17:39:45
872fc2,ANA849,Japan,32.6527,132.7748,11582.4,200.32,241.13,False,2026-03-11 17:39:45
7587ca,PAL117,Philippines,33.435,138.8799,10972.8,188.1,224.0,False,2026-03-11 17:39:45
3965b3,AFR111,France,41.4091,116.3915,9174.48,211.83,329.01,False,2026-03-11 17:39:45
846333,NCA203,Japan,25.5881,122.0431,11833.86,195.52,229.27,False,2026-03-11 17:39:45
888194,HVN440,Viet Nam,21.1408,117.4427,10058.4,279.65,65.08,False,2026-03-11 17:39:45
781f38,CSZ9314,China,22.7351,113.7406,487.68,79.6,153.1,False,2026-03-11 17:39:45
780aa2,CPA749,China,22.3169,113.9319,,0.0,160.31,True,2026-03-11 17:39:45
780aa0,HKE717,China,21.7644,114.0822,2857.5,176.46,320.32,False,2026-03-11 17:39:45
885962,TVJ3537,Thailand,22.8258,115.151,9784.08,205.94,263.83,False,2026-03-11 17:39:45
781303,CGH1116,China,22.2303,113.2469,8907.78,194.79,247.97,False,2026-03-11 17:39:45
781f65,CSS7119,China,40.2231,116.4302,2651.76,139.86,292.04,False,2026-03-11 17:39:45
781f83,,China,37.1187,125.5824,9448.8,238.74,89.01,False,2026-03-11 17:39:45
750261,MAS039,Malaysia,27.1622,127.1411,10972.8,208.47,192.25,False,2026-03-11 17:39:45
85c136,JA502A,Japan,35.5581,139.766,,10.8,306.56,True,2026-03-11 17:39:45
84b42f,APJ723,Japan,25.2542,121.3244,2400.3,154.39,235.73,False,2026-03-11 17:39:45
7501fa,XAX379,Malaysia,25.0005,120.9074,3535.68,181.71,233.52,False,2026-03-11 17:39:45
8880dc,VJC976,Viet Nam,21.4935,118.7877,10066.02,285.53,52.61,False,2026-03-11 17:39:45
76cd47,SIA38,Singapore,20.9506,122.4874,10965.18,295.44,46.13,False,2026-03-11 17:39:45
c010a8,ACA65,Canada,35.0011,132.3615,10965.18,219.06,237.47,False,2026-03-11 17:39:45
780d8e,EPA6206,China,22.7344,113.7411,472.44,79.38,152.6,False,2026-03-11 17:39:45
899080,,Taiwan,22.4997,118.6291,9144.0,218.53,218.6,False,2026-03-11 17:39:45
4d0106,CLX9363,Luxembourg,22.3626,117.3617,8534.4,227.77,282.66,False,2026-03-11 17:39:45
040172,ETH605,Ethiopia,40.0206,114.7729,7246.62,224.21,273.55,False,2026-03-11 17:39:45
899059,TTW216,Taiwan,25.8653,122.7992,8610.6,276.26,53.56,False,2026-03-11 17:39:45
89901f,CAL003,Taiwan,36.2014,142.4645,10972.8,202.62,247.93,False,2026-03-11 17:39:45
89901e,CAL032,Taiwan,25.2933,121.5508,2849.88,168.24,77.28,False,2026-03-11 17:39:45
899038,EVA010,Taiwan,25.354,121.8558,4244.34,212.18,78.39,False,2026-03-11 17:39:45
ac1846,FDX90,United States,33.6738,135.3975,9448.8,286.15,74.89,False,2026-03-11 17:39:45
781ffb,CSH841,China,22.7855,112.9526,10393.68,195.47,220.94,False,2026-03-11 17:39:45
7813bc,CSN305,China,21.5736,114.0858,8724.9,280.05,92.11,False,2026-03-11 17:39:45
750403,MXD822,Malaysia,21.7284,121.029,10668.0,263.73,19.25,False,2026-03-11 17:39:45
750419,AXM1516,Malaysia,23.3683,114.21,11308.08,254.67,14.63,False,2026-03-11 17:39:45
780f15,CSN327,China,33.4075,134.0977,9448.8,290.02,82.56,False,2026-03-11 17:39:45
040047,ETH673,Ethiopia,39.4876,116.919,11003.28,204.76,350.89,False,2026-03-11 17:39:45
71c003,KAL677,Republic of Korea,23.2012,121.6551,11582.4,203.46,196.6,False,2026-03-11 17:39:45
899160,CAL061,Taiwan,21.2381,117.4655,9753.6,219.11,237.95,False,2026-03-11 17:39:45
89913e,EVA065,Taiwan,23.0668,119.0195,10355.58,205.37,216.96,False,2026-03-11 17:39:45
87ad9e,TEST,Japan,35.5461,139.7943,,3.6,50.62,True,2026-03-11 17:39:45
ac05b3,FDX5025,United States,33.7504,133.9414,9144.0,210.71,240.93,False,2026-03-11 17:39:45
780f78,CSN3567,China,22.8595,113.7968,1325.88,97.11,332.21,False,2026-03-11 17:39:45
71c063,JJA2217,Republic of Korea,21.1642,117.3022,10363.2,199.62,269.26,False,2026-03-11 17:39:45
71c025,KAL647,Republic of Korea,24.6373,122.167,11582.4,205.44,203.93,False,2026-03-11 17:39:45
a026a5,FDX6053,United States,21.2638,114.2483,7002.78,196.74,355.05,False,2026-03-11 17:39:45
71c045,KAL313,Republic of Korea,22.1116,114.7936,2971.8,178.67,250.31,False,2026-03-11 17:39:45
71c043,KAL327,Republic of Korea,39.065,116.0121,10393.68,255.05,253.36,False,2026-03-11 17:39:45
899125,CAL063,Taiwan,21.9391,117.9462,10363.2,218.22,208.44,False,2026-03-11 17:39:45
899136,EVA095,Taiwan,21.1525,116.4684,10363.2,221.25,268.93,False,2026-03-11 17:39:45
899139,EVA049,Taiwan,40.4456,140.8081,11574.78,235.6,240.86,False,2026-03-11 17:39:45
781686,CES6882,China,39.8384,115.6245,3474.72,200.51,165.89,False,2026-03-11 17:39:45
78040b,CDG2495,China,22.567,113.8124,1013.46,90.56,173.8,False,2026-03-11 17:39:45
76bd42,TGW875,Singapore,23.9571,120.4082,9784.08,222.68,189.44,False,2026-03-11 17:39:45
76bd49,TGW893,Singapore,21.3627,119.9347,12184.38,226.55,188.09,False,2026-03-11 17:39:45
71ba03,KAL006,Republic of Korea,37.3975,143.3925,10972.8,214.3,274.96,False,2026-03-11 17:39:45
8991a4,CAL5927,Taiwan,22.9299,113.6748,1089.66,96.43,223.49,False,2026-03-11 17:39:45
4ba952,THY91,Turkey,41.0318,116.5431,9174.48,205.25,355.98,False,2026-03-11 17:39:45
8990ef,CAL5137,Taiwan,34.7912,137.2571,11582.4,204.35,250.74,False,2026-03-11 17:39:45
8990eb,CAL5835,Taiwan,22.2119,114.9124,3916.68,180.45,241.75,False,2026-03-11 17:39:45
8990c0,SJX012,Taiwan,25.3698,121.9497,4526.28,208.65,78.19,False,2026-03-11 17:39:45
8990d6,EVA028,Taiwan,27.5016,128.9761,9448.8,333.3,75.06,False,2026-03-11 17:39:45
780473,CSZ8972,China,22.8049,113.7009,792.48,101.74,124.49,False,2026-03-11 17:39:45
78188d,CSS7109,China,39.4173,114.5885,9784.08,237.92,242.44,False,2026-03-11 17:39:45
aba7d9,FDX6015,United States,33.9444,126.5023,9144.0,222.28,207.57,False,2026-03-11 17:39:45
86d288,ANA885,Japan,33.4172,136.8962,10355.58,242.08,185.98,False,2026-03-11 17:39:45
71c282,AAR747,Republic of Korea,21.845,120.4638,11582.4,196.04,256.8,False,2026-03-11 17:39:45
7804c6,CSG2543,China,35.5805,133.516,9448.8,266.08,60.46,False,2026-03-11 17:39:45
8991e5,SJX031,Taiwan,41.2316,142.5713,12192.0,235.3,241.25,False,2026-03-11 17:39:45
